subject,precision.pmt,precision.rg,recall.pmt,recall.rg,fmeasure.pmt,fmeasure.rg,auc.pmt,auc.rg
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\java-merge-sort.arff,0.911791733,0.079957171,0.878640777,0.28276699,0.883583743,0.124663593,0.9277031,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\java-sizeof.arff,0.972960175,0.017098086,0.96886675,0.130759651,0.969943514,0.03024177,0.987692728,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\java-uuid-generator.arff,0.953266362,0.056440576,0.943352601,0.237572254,0.945180084,0.091211767,0.975417305,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\javacpp.arff,0.99029217,0.001068507,0.98819177,0.032688019,0.988849405,0.00206937,0.995153323,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\javapoet.arff,0.899614006,0.404534841,0.888244275,0.636030534,0.883566978,0.49453214,0.864387033,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\javatuples.arff,0.973431181,0.002395577,0.96665647,0.048944631,0.969092104,0.004567595,0.983264313,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\JavaVerbalExpressions.arff,0.934642927,0.693644163,0.933717579,0.832853026,0.928280747,0.75690102,0.913733445,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jenkins-ansicolor-plugin.arff,0.900624942,0.201539147,0.883610451,0.448931116,0.8836643,0.278190102,0.918742018,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jenkins-sonar-plugin.arff,1,0.339841943,1,0.582959641,1,0.429375373,1,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jetty-session-redis.arff,0.940382167,0.024475371,0.908115766,0.156446064,0.915686565,0.042328599,0.957642358,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jieba-analysis.arff,0.886205494,0.030504282,0.673436231,0.174654752,0.712060121,0.051937444,0.854140725,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jInstagram.arff,0.98560734,0.00604766,0.983050847,0.0777667,0.983724957,0.011222576,0.993071726,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jitescript.arff,0.941646138,0.050060038,0.930215827,0.223741007,0.93271404,0.08181476,0.971587066,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jmeter-maven-plugin.arff,0.975065968,0.120395027,0.973825503,0.346979866,0.97399459,0.17876292,0.983145854,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jmxutils.arff,0.961340238,0.178557778,0.957926829,0.422560976,0.958121589,0.251037082,0.974005521,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\joss.arff,0.862443332,0.248607394,0.824715726,0.498605449,0.820128949,0.331784986,0.862990289,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jPopulator.arff,0.89458705,0.170717643,0.861924686,0.413179916,0.862660691,0.241607797,0.916351903,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jprotobuf.arff,0.88416512,0.038052826,0.739818418,0.195071336,0.766749477,0.063682937,0.885744662,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jreversepro.arff,0.926496322,0.015971262,0.825359185,0.126377459,0.851326092,0.028358632,0.950353419,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jsemver.arff,0.943996943,0.742991946,0.946081955,0.861969806,0.944058512,0.798070886,0.895108502,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jsonrpc4j.arff,0.952227369,0.039633135,0.942545246,0.199080724,0.944714261,0.066105866,0.975794789,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jtar.arff,0.746730141,0.235804163,0.680384088,0.485596708,0.6611645,0.317453803,0.737734518,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jumblr.arff,0.937248085,0.117531776,0.929273084,0.342829077,0.930354811,0.175050984,0.958195742,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\kafka-spout.arff,0.870188302,0.665634103,0.858356941,0.815864023,0.822348245,0.733132101,0.792280983,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\kafka-websocket.arff,0.993831713,0.038153452,0.993630573,0.195329087,0.99366901,0.06383757,0.997117701,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\KeptCollections.arff,0.93207838,0.09602302,0.919574216,0.309875813,0.921454385,0.146613929,0.95938565,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\kryo-serializers.arff,0.768540072,0.448623495,0.772983114,0.669793621,0.757442447,0.537340051,0.791254854,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\la4j.arff,0.951380177,0.224046165,0.948305624,0.47333515,0.948333351,0.30413469,0.9815439,0.5
